series,n,n_pos,zero_share,median_gap_s,mean_gap_s,hill_frac10,hill_frac10_se,hill_frac10_k,hill_plateau,hill_plateau_se,hill_plateau_k,rm_ratio,csn_alpha,csn_xmin,csn_n_tail,csn_p,csn_n_used,symbol,qvol_24h,n_agg,n_fills_total,fills_per_order,diurnal_range
W0.1,49063,49063,0.0,0.6200001239776611,1.7609984917342607,1.491973963846497,0.021300876406142474,4906,1.5125271229252315,0.026683808085401235,3213,0.47967076429188543,,,,,,HEMIUSDT,23990471.02393,118194,447552,3.7865881516828264,
W1,24920,24920,0.0,1.7879998683929443,3.4670796147701637,1.5510826066684233,0.03107140621847979,2492,1.5787357369192927,0.02368755102625353,4442,0.49110941128827007,,,,,,HEMIUSDT,23990471.02393,118194,447552,3.7865881516828264,
W5,9644,9644,0.0,6.051000118255615,8.958899211952767,1.5742986454851737,0.05070474522115635,964,2.0320274729130876,0.03836746825842148,2805,0.5583100328319488,,,,,,HEMIUSDT,23990471.02393,118194,447552,3.7865881516828264,
W30,2275,2275,0.0,31.396000146865845,37.97785670332856,1.730247815451382,0.1145884608653231,228,1.637948756497149,0.13509573649749168,147,0.7109641657775077,,,,,,HEMIUSDT,23990471.02393,118194,447552,3.7865881516828264,
deseas,118193,89305,0.24441379777144162,2.129904975746158,7.8129114265698085,1.5991528718935875,0.014709557762722853,11819,0.7023279261532597,0.003576469544072318,38563,1.1991008855946066,2.015737696718573,35.515831105270415,1621.0,0.0,20000.0,HEMIUSDT,23990471.02393,118194,447552,3.7865881516828264,195.75110714800624
fill,392805,83485,0.787464518017846,0.07599997520446777,0.21994320082492416,0.457682098187387,0.0023092884646275214,39280,0.23374607825586302,0.0009263029260078243,63677,1.8299680653361592,1.9155368228413967,5.489199852943417,1000.0,0.0,20000.0,LINKUSDT,12732842.70187,120989,392806,3.2466257263056972,
order,120988,83485,0.30997288987337585,0.07599997520446777,0.7140773382487051,1.2007778066500576,0.010916612987667749,12099,0.5347670108606088,0.0028810937413874175,34452,3.786331904616157,1.9306020793547427,5.44319984912872,1000.0,0.0,20000.0,LINKUSDT,12732842.70187,120989,392806,3.2466257263056972,
W0.1,42030,42030,0.0,0.7890000343322754,2.055550535332723,1.9249535657632604,0.02969207595198581,4203,1.131087483085269,0.009747856896847368,13464,2.2561659258299254,,,,,,LINKUSDT,12732842.70187,120989,392806,3.2466257263056972,
W1,23398,23398,0.0,2.2679998874664307,3.692382254899287,2.3753892120707274,0.04910512841087695,2340,1.5676084624829414,0.017941614518298038,7634,1.6498030859194104,,,,,,LINKUSDT,12732842.70187,120989,392806,3.2466257263056972,
W5,10494,10494,0.0,6.634000062942505,8.232627882602126,3.1941396050910464,0.09862026147846703,1049,2.587801562664764,0.044630537398180466,3362,1.2531321263445372,,,,,,LINKUSDT,12732842.70187,120989,392806,3.2466257263056972,
