market,bin_s,sym_i,sym_h,p_i,p_h,or_crude,or_mh,ci_lo,ci_hi
binance,1.0,HEMIUSDT,SOLUSDT,0.3515625,0.3526388888888889,1.0839320528292753,1.0307597491507412,0.992331036706749,1.0740686684452982
binance,1.0,HEMIUSDT,SPCXBUSDT,0.3515625,0.12199074074074075,1.042657233516541,0.977537339381448,0.9029113418219304,1.0441208704715084
binance,1.0,HEMIUSDT,SYRUPUSDT,0.3515625,0.038009259259259257,1.6814633203174127,0.966567302729911,0.8462052687841009,1.0833512401615608
binance,1.0,HEMIUSDT,TRUMPUSDT,0.3515625,0.03940972222222222,0.939571567388426,1.0268677528333041,0.9610492653829449,1.1147369000557696
binance,1.0,HEMIUSDT,XPLUSDT,0.3515625,0.7874537037037037,0.8444182884215814,1.0039895970543404,0.9428284734834708,1.072966287133605
binance,1.0,HEMIUSDT,XRPUSDT,0.3515625,0.22747685185185185,0.9073912660526094,1.0033647778788326,0.9654925598950974,1.0421088679934796
binance,1.0,HEMIUSDT,XVSUSDT,0.3515625,0.0328125,1.2670819966524225,1.1772616494800088,1.0759385685911662,1.304314937712323
binance,1.0,LINKUSDT,PLUMEUSDT,0.3200925925925926,0.6462847222222222,1.6102419304842672,1.0381548841372865,0.9850883231410157,1.0872210385696452
binance,1.0,LINKUSDT,SOLUSDT,0.3200925925925926,0.3526388888888889,1.095524848342598,1.0823822356020674,1.0455339231863356,1.1221480988165853
binance,1.0,LINKUSDT,SPCXBUSDT,0.3200925925925926,0.12199074074074075,1.0808617046326097,1.0499240624002903,0.9915229666305188,1.1237127029143692
binance,1.0,LINKUSDT,SYRUPUSDT,0.3200925925925926,0.038009259259259257,0.8104332175308805,1.0515050035263884,0.9987140809825531,1.1137018952939834
binance,1.0,LINKUSDT,TRUMPUSDT,0.3200925925925926,0.03940972222222222,1.202558227602492,1.141677802895003,1.0586499941477614,1.2454334598682149
binance,1.0,LINKUSDT,XPLUSDT,0.3200925925925926,0.7874537037037037,1.883557190938574,1.0077983573859486,0.9555253524852855,1.074002484057292
binance,1.0,LINKUSDT,XRPUSDT,0.3200925925925926,0.22747685185185185,1.229650533538814,1.1699769950554892,1.118796822231495,1.229731592588844
binance,1.0,LINKUSDT,XVSUSDT,0.3200925925925926,0.0328125,0.9562990805329297,1.0953307675225943,1.0033789370672705,1.1904604874331854
binance,1.0,PLUMEUSDT,SOLUSDT,0.6462847222222222,0.3526388888888889,1.0288311045151874,1.001755156439881,0.9682349925582449,1.0340970945660375
binance,1.0,PLUMEUSDT,SPCXBUSDT,0.6462847222222222,0.12199074074074075,1.1597953606485887,0.9748217836758426,0.9205204351613016,1.0395685488781055
binance,1.0,PLUMEUSDT,SYRUPUSDT,0.6462847222222222,0.038009259259259257,0.7244910292546377,0.9755977463893569,0.884237148663645,1.0802888607424102
binance,1.0,PLUMEUSDT,TRUMPUSDT,0.6462847222222222,0.03940972222222222,1.020869699175537,1.0107393608473274,0.9515532090796537,1.080080957834821
binance,1.0,PLUMEUSDT,XPLUSDT,0.6462847222222222,0.7874537037037037,2.339604586354871,1.0103031454795743,0.9529068915412765,1.0622958546644319
binance,1.0,PLUMEUSDT,XRPUSDT,0.6462847222222222,0.22747685185185185,1.0153826792936842,0.9628192274873518,0.91517467529335,1.0066765702150504
binance,1.0,PLUMEUSDT,XVSUSDT,0.6462847222222222,0.0328125,0.884411824091947,1.0125565703586423,0.9251932037419852,1.0973274509521216
binance,1.0,SOLUSDT,SPCXBUSDT,0.3526388888888889,0.12199074074074075,1.0057812644367914,0.9765577696644981,0.9426497184622192,1.0142592508827353
binance,1.0,SOLUSDT,SYRUPUSDT,0.3526388888888889,0.038009259259259257,1.1049835746999417,1.0435508650590983,0.975891558664613,1.105286202815964
binance,1.0,SOLUSDT,TRUMPUSDT,0.3526388888888889,0.03940972222222222,1.0831503667337976,1.0836341747584861,1.0175350722204985,1.1499751178574877
binance,1.0,SOLUSDT,XPLUSDT,0.3526388888888889,0.7874537037037037,1.175468209619433,1.034286352958243,1.0009223121271849,1.070243630704848
binance,1.0,SOLUSDT,XRPUSDT,0.3526388888888889,0.22747685185185185,1.223777113060273,1.215654170766822,1.1636472667720075,1.2665090160693502
binance,1.0,SOLUSDT,XVSUSDT,0.3526388888888889,0.0328125,0.9364297155990355,0.9485752176097457,0.8805175683782429,1.0109868496038263
binance,1.0,SPCXBUSDT,SYRUPUSDT,0.12199074074074075,0.038009259259259257,0.9834398453302844,1.0113417472705344,0.894489305746724,1.1385651250730855
binance,1.0,SPCXBUSDT,TRUMPUSDT,0.12199074074074075,0.03940972222222222,1.039112225267275,1.0389402303654955,0.8882450333840548,1.2163703895966556
binance,1.0,SPCXBUSDT,XPLUSDT,0.12199074074074075,0.7874537037037037,1.4149943628468242,1.0461019297487915,0.9395019313564087,1.1613958569861804
binance,1.0,SPCXBUSDT,XRPUSDT,0.12199074074074075,0.22747685185185185,1.0501617240489605,1.0454207581286006,0.989454810945769,1.1004653982246517
binance,1.0,SPCXBUSDT,XVSUSDT,0.12199074074074075,0.0328125,1.1537308471093113,1.1146496557392647,1.0011906918732496,1.2322799753774751
binance,1.0,SYRUPUSDT,TRUMPUSDT,0.038009259259259257,0.03940972222222222,1.097514785424192,1.2045631713046527,1.0226282998652836,1.4052955150797584
binance,1.0,SYRUPUSDT,XPLUSDT,0.038009259259259257,0.7874537037037037,0.7904835039588074,0.8806379704518648,0.7812372067476099,0.9944367215620659
binance,1.0,SYRUPUSDT,XRPUSDT,0.038009259259259257,0.22747685185185185,0.9748788164186186,1.045011846647637,0.9711382762867917,1.133761477534729
binance,1.0,SYRUPUSDT,XVSUSDT,0.038009259259259257,0.0328125,1.235553347333337,1.208852036909954,0.9592732328712469,1.4593654722630425
binance,1.0,TRUMPUSDT,XPLUSDT,0.03940972222222222,0.7874537037037037,1.1592408934518679,1.1170215128118914,1.0084142709957447,1.242671702994193
binance,1.0,TRUMPUSDT,XRPUSDT,0.03940972222222222,0.22747685185185185,1.211354554404547,1.189483209167194,1.0948013645297725,1.300140262181893
binance,1.0,TRUMPUSDT,XVSUSDT,0.03940972222222222,0.0328125,1.297661079524343,1.339706566510456,1.0883055519138076,1.6019219397027225
binance,1.0,XPLUSDT,XRPUSDT,0.7874537037037037,0.22747685185185185,1.1084657081830094,1.03492913291449,0.976957912686952,1.1013562996680282
binance,1.0,XPLUSDT,XVSUSDT,0.7874537037037037,0.0328125,0.830543719986045,1.2236248955984492,1.0890643215714086,1.4297848139164313
binance,1.0,XRPUSDT,XVSUSDT,0.22747685185185185,0.0328125,1.0400344043957293,1.0665449459094387,0.9857313415748841,1.161122762529914
binance,5.0,ALLOUSDT,AMPUSDT,0.9259259259259259,0.08206018518518518,0.463716586942325,0.9348213736702946,0.7920269717650692,1.2976356326729888
binance,5.0,ALLOUSDT,AUSDT,0.9259259259259259,0.033622685185185186,1.6644894279233267,1.0418416099609091,0.7370476070670571,1.7137213142214458
binance,5.0,ALLOUSDT,BICOUSDT,0.9259259259259259,0.6800925925925926,1.3159519158191086,0.9674854584257438,0.8354950181550154,1.1381554476483662
binance,5.0,ALLOUSDT,ETHUSDT,0.9259259259259259,0.9404513888888889,1.103429821912074,1.1999638510663935,0.8878494076566339,1.4709108175053578
